RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Doug McDermott|CREI|F|35|33.7|26.7|9.4|17.9|52.6|2.7|6.1|44.9|5.1|5.9|86.4|7.0|1.6|0.2|0.1|1.8
2|Antoine Mason|AUB|G|33|37.6|25.6|8.2|18.5|44.0|1.5|5.1|28.6|7.9|10.8|72.8|3.6|1.5|1.2|0.2|2.8
3| Warren|NCSU|F|35|35.4|24.9|9.8|18.6|52.5|0.9|3.3|26.7|4.5|6.5|69.0|7.1|1.1|1.8|0.6|2.4
4|Billy Baron|CAN|G|34|39.0|24.1|7.3|15.6|46.4|3.1|7.5|42.1|6.5|7.3|88.4|4.9|5.3|1.6|0.0|3.0
5|Patrick Miller|TNST|G|30|37.7|23.7|7.7|17.1|44.7|1.5|4.4|33.6|6.9|8.9|77.6|4.5|4.1|1.6|0.2|3.3
6|Tyler Haws|BYU|G|33|34.6|23.2|7.6|16.5|46.3|1.2|3.0|40.4|6.8|7.7|88.1|3.8|1.5|1.0|0.3|1.9
7| Balentine|EVAN|G|33|37.9|22.8|6.9|16.0|43.4|2.4|5.9|39.8|6.5|7.7|84.7|2.7|4.2|0.6|0.1|2.5
8|Tyler Harvey|EWU|G|31|37.4|21.8|6.6|15.0|44.3|3.5|8.1|43.3|5.0|5.6|89.7|4.2|2.7|1.1|0.3|2.1
9|Bryce Cotton|PROV|G|35|39.9|21.8|6.6|15.7|41.9|2.2|6.0|36.7|6.5|7.6|85.3|3.5|5.9|1.0|0.1|2.4
10|Aaric  Murray|TXSO|C|34|32.0|21.6|7.1|14.4|49.1|0.9|2.7|33.7|6.6|8.9|74.1|7.5|1.2|0.9|2.5|2.6
11|Kendrick Perry|YSU|G|32|36.5|21.3|6.7|13.3|50.6|1.9|5.4|35.6|5.9|8.1|73.6|4.1|4.4|2.4|0.3|1.9
12|Shawn Glover|ORU|F|33|34.9|21.3|8.3|16.6|49.9|0.8|1.6|48.1|4.0|4.8|83.0|5.8|1.5|0.8|1.6|2.2
13|Alan Williams|UCSB|C|28|31.1|21.3|8.0|15.0|53.3|0.0|0.0|0.0|5.3|7.7|68.5|11.5|1.2|1.2|2.4|2.1
14|James Daniel |IIITENN|F|28|31.8|21.0|5.5|15.0|36.8|3.3|8.3|39.4|6.6|8.3|79.8|2.5|1.6|1.3|0.0|3.3
15|Jeremy Ingram|NCCU|G|34|34.4|20.8|6.2|14.2|43.9|2.0|5.4|37.0|6.4|8.2|77.1|3.8|1.2|1.6|0.6|2.1
16|Roberto Nelson|ORST|G|32|32.9|20.7|6.3|14.0|44.7|1.8|4.5|39.9|6.4|7.8|82.4|3.4|3.6|1.0|0.0|3.1
17|Travis Bader|OAK|G|33|37.6|20.6|5.6|14.5|38.6|4.5|10.9|40.8|5.0|5.3|94.3|2.8|1.4|0.9|0.1|1.3
18|Sean Kilpatrick|CIN|G|34|33.8|20.6|6.3|14.9|42.3|2.7|7.9|34.8|5.3|6.3|84.5|4.3|2.5|1.4|0.0|2.1
19|Cameron Bairstow|UNM|F|34|32.9|20.4|7.0|12.5|55.6|0.0|0.1|33.3|6.4|8.8|73.5|7.4|1.6|0.6|1.5|2.0
20|Denzel Livingston|UIW|G|27|32.9|20.3|6.4|12.9|49.9|2.0|5.1|39.4|5.4|7.0|76.8|6.4|3.8|2.5|1.4|2.7
21|Reger Dowell|UTA|G|30|30.9|20.3|6.5|16.0|40.5|3.2|9.0|35.4|4.1|5.4|76.5|2.5|2.2|0.7|0.1|2.5
21|Keifer Sykes|GB|G|30|34.3|20.3|6.5|13.9|46.9|1.0|3.2|30.9|6.3|7.7|81.0|4.4|4.9|1.2|0.0|2.1
23|Andrew Rowsey|MARQ|G|32|36.1|20.3|6.3|14.7|42.9|3.3|8.2|40.5|4.3|5.2|83.6|3.7|2.9|1.3|0.1|3.2
24|Jordan Downing|PRES|G-F|32|37.2|20.2|7.3|16.9|43.4|2.5|6.8|36.7|3.0|3.7|81.5|4.5|1.9|1.0|0.4|2.3
25|Stephen Madison|IDHO|F|34|34.5|20.1|6.4|13.4|47.7|1.1|3.5|32.5|6.1|8.1|76.0|7.6|2.4|1.0|0.5|2.7
26| Covington|VMI|F|35|29.7|20.1|7.7|12.9|59.3|0.0|0.1|0.0|4.8|6.9|69.7|9.3|0.8|1.0|3.0|2.1
27|Deonte Burton|NEV|G|32|38.6|20.1|6.7|14.3|47.1|1.5|4.9|31.4|5.1|6.9|74.2|4.3|4.4|1.5|0.5|2.0
28|Jabari Brown|MIZ|G|35|37.0|19.9|5.8|12.4|46.7|2.3|5.6|41.0|6.1|7.6|79.7|4.4|1.9|0.6|0.1|2.3
29|Zeke Upshaw|HOF|G|33|36.5|19.8|6.0|14.8|40.3|2.8|7.9|34.9|5.2|6.8|75.6|4.2|1.8|0.8|0.2|2.8
30|Karvel Anderson|RMU|G|36|30.6|19.7|6.9|13.5|51.0|3.3|7.1|46.3|2.6|3.1|84.1|3.3|1.4|1.3|0.2|1.2
31|Devon Saddler|DEL|G|28|37.0|19.7|6.8|15.5|43.9|1.7|4.6|36.7|4.5|6.3|71.0|4.3|3.6|0.9|0.3|2.2
32|Isiah Umipig|SEA|G|30|33.1|19.5|6.1|15.8|38.8|3.5|9.6|36.9|3.7|4.5|82.8|2.7|3.6|1.1|0.0|3.3
33|John Brown|HPU|F|31|31.8|19.5|7.2|13.3|54.5|0.0|0.2|0.0|5.0|6.7|74.5|7.7|1.9|1.5|1.6|1.6
34|Jelani Hewitt|GASO|G|34|33.9|19.4|6.2|15.3|40.6|2.5|6.9|36.0|4.5|5.4|83.2|4.4|3.1|2.2|0.1|3.0
35|Davon Usher|DEL|G|35|36.6|19.4|6.2|13.7|45.1|2.4|6.7|36.3|4.6|6.2|74.3|6.1|1.8|1.8|0.4|2.0
36|Jalan West|NWST|G|31|32.9|19.4|5.9|12.8|46.3|2.3|5.5|40.9|5.3|6.0|87.6|4.0|6.4|2.5|0.3|2.7
37|Tyler Stone|SEMO|F|30|33.5|19.3|7.4|13.7|54.4|0.8|2.3|33.8|3.6|5.1|71.2|9.5|1.9|1.0|1.5|1.7
38|Davion Berry|WEB|G|31|33.2|19.2|5.3|11.3|46.4|2.0|5.1|38.9|6.7|8.2|82.3|4.2|3.9|1.0|0.2|2.8
39|Elfrid Payton|UL|G|35|35.9|19.2|6.8|13.3|50.9|0.4|1.5|25.9|5.3|8.6|60.9|6.0|5.9|2.3|0.6|3.6
40|Troy Huff|UND|G|34|29.2|19.2|6.2|13.7|45.0|1.2|4.1|30.2|5.6|7.4|76.0|6.8|1.2|2.3|0.3|1.9
41|Jabari Parker|DUKE|F|35|30.7|19.1|6.7|14.3|47.3|1.1|3.0|35.8|4.6|6.1|74.8|8.7|1.2|1.1|1.2|2.3
42|F|FDU|G|31|33.6|19.1|6.5|15.7|41.6|1.0|2.9|34.8|5.1|6.8|75.2|3.8|5.8|2.2|0.0|2.5
43|David Brown|WMU|G|33|34.0|19.1|5.3|13.0|41.1|2.4|7.5|32.4|6.0|7.8|77.1|3.5|1.8|1.4|0.2|2.8
44|Chris Denson|AUB|G|30|32.0|19.1|6.2|13.5|46.1|0.7|2.8|26.5|5.9|8.9|65.7|4.3|2.4|1.0|0.1|1.8
44|Stephen Croone|FUR|G|30|33.3|19.1|5.8|12.5|46.8|1.0|3.1|32.3|6.4|8.5|75.0|4.4|3.7|1.7|0.3|3.6
46|Mon Brooks|DAV|F|27|26.8|19.0|6.4|10.9|58.6|0.5|1.1|45.2|5.7|7.7|74.4|7.1|1.4|0.7|0.8|2.2
47|Marshall Henderson|MISS|G|30|31.1|19.0|5.7|16.2|35.3|4.3|12.6|34.2|3.3|4.0|81.7|1.9|2.0|1.5|0.1|1.8
48|Pablo Bertone|FAU|G|30|33.8|19.0|6.9|15.3|45.1|1.7|5.1|33.8|3.5|4.8|72.7|3.9|2.1|1.3|0.1|2.8
