Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jarell Martin|Memphis Grizzlies|Louisiana State|2015|1|25|25
Nikola Milutinov|San Antonio Spurs|KK Partizan (Serbia)|2015|1|26|26
Larry Nance Jr.|Los Angeles Lakers|Wyoming|2015|1|27|27
RJ Hunter|Boston Celtics|Georgia State|2015|1|28|28
Chris McCullough|Brooklyn Nets|Syracuse|2015|1|29|29
Kevon Looney|Golden State Warriors|California-Los Angeles|2015|1|30|30
Cedi Osman|Minnesota Timberwolves|Anadolu Efes S.K. (Turkey)|2015|2|1|31
Montrezl Harrell|Houston Rockets|Louisville|2015|2|2|32
Jordan Mickey|Boston Celtics|Louisiana State|2015|2|3|33
Anthony Brown|Los Angeles Lakers|Stanford|2015|2|4|34
Willy Hernangomez|Philadelphia 76ers|CB Sevilla (Spain)|2015|2|5|35
Rakeem Christmas|Minnesota Timberwolves|Syracuse|2015|2|6|36
Richaun Holmes|Philadelphia 76ers|Bowling Green|2015|2|7|37
Darrun Hilliard|Detroit Pistons|Villanova|2015|2|8|38
Juan Pablo Vaulet|Charlotte Hornets|Bahia Basket (Argentina)|2015|2|9|39
Josh Richardson|Miami Heat|Tennessee|2015|2|10|40
Pat Connaughton|Brooklyn Nets|Notre Dame|2015|2|11|41
Olivier Hanlan|Utah Jazz|Boston College|2015|2|12|42
Joe Young|Indiana Pacers|Oregon|2015|2|13|43
Andrew Harrison|Phoenix Suns|Kentucky|2015|2|14|44
Marcus Thornton|Boston Celtics|William & Mary|2015|2|15|45
Norman Powell|Milwaukee Bucks|California-Los Angeles|2015|2|16|46
Arturas Gudaitis|Philadelphia 76ers|BC Zalgiris (Lithuania)|2015|2|17|47
Dakari Johnson|Oklahoma City Thunder|Kentucky|2015|2|18|48
Aaron White|Washington Wizards|Iowa|2015|2|19|49
Marcus Eriksson|Atlanta Hawks|FC Barcelona Basquet (Spain)|2015|2|20|50
Tyler Harvey|Orlando Magic|Eastern Washington|2015|2|21|51
Satnam Singh|Dallas Mavericks|IMG Academy|2015|2|22|52
Sir'Dominic Pointer|Cleveland Cavaliers|St. John's (NY)|2015|2|23|53
Daniel Diez|Utah Jazz|San Sebastian Gipuzkoa BC (Spain)|2015|2|24|54
Cady Lalanne|San Antonio Spurs|Massachusetts|2015|2|25|55
Branden Dawson|New Orleans Pelicans|Michigan State|2015|2|26|56
Nikola Radicevic|Denver Nuggets|CB Sevilla (Spain)|2015|2|27|57
JP Tokoto|Philadelphia 76ers|North Carolina|2015|2|28|58
Dimitrios Agravanis|Atlanta Hawks|Olympiacos B.C. (Greece)|2015|2|29|59
Luka Mitrovic|Philadelphia 76ers|Red Star Belgrade (Serbia)|2015|2|30|60
Andrew Wiggins|Cleveland Cavaliers|Kansas|2014|1|1|1
Jabari Parker|Milwaukee Bucks|Duke|2014|1|2|2
Joel Embiid|Philadelphia 76ers|Kansas|2014|1|3|3
Aaron Gordon|Orlando Magic|Arizona|2014|1|4|4
Dante Exum|Utah Jazz|Australian Institute of Sport (Australia)|2014|1|5|5
Marcus Smart|Boston Celtics|Oklahoma State|2014|1|6|6
Julius Randle|Los Angeles Lakers|Kentucky|2014|1|7|7
Nik Stauskas|Sacramento Kings|Michigan|2014|1|8|8
Noah Vonleh|Charlotte Hornets|Indiana|2014|1|9|9
Elfrid Payton|Philadelphia 76ers|Louisiana-Lafayette|2014|1|10|10
Doug McDermott|Denver Nuggets|Creighton|2014|1|11|11
Dario Saric|Orlando Magic|KK Cibona (Croatia)|2014|1|12|12
Zach LaVine|Minnesota Timberwolves|California-Los Angeles|2014|1|13|13
T.J. Warren|Phoenix Suns|North Carolina State|2014|1|14|14
